Ictype,SAMPLE_1,SAMPLE_2,SAMPLE_3
Banana,"147","182","135"
Banana,"60","105","60"
Banana,"43","77","35"
Banana,"141","170","122"
Banana,"43","81","30"
Banana,"137","161","118"
Banana,"135","157","127"
Banana,"141","175","120"
Banana,"85","113","84"
Banana,"93","116","79"
Banana,"176","200","159"
Banana,"164","187","152"
Banana,"137","164","125"
Banana,"120","148","103"
Banana,"77","107","67"
Banana,"51","73","41"
Banana,"134","166","120"
Banana,"92","132","69"
Banana,"91","130","76"
Banana,"145","183","131"
Banana,"150","185","140"
Banana,"65","105","74"
Banana,"124","151","104"
Banana,"6","37","14"
Banana,"116","153","113"
Banana,"88","128","87"
Banana,"86","115","67"
Banana,"96","123","75"
Banana,"138","168","127"
Banana,"125","155","114"
Banana,"59","95","62"
Banana,"45","81","48"
Banana,"105","147","103"
Banana,"149","202","143"
Banana,"71","109","58"
Banana,"137","185","125"
Banana,"120","157","109"
Banana,"84","118","77"
Banana,"30","63","27"
Banana,"136","173","130"
Banana,"59","71","44"
Banana,"96","111","78"
Banana,"109","135","101"
Banana,"151","180","145"
Banana,"80","100","72"
Banana,"69","86","61"
Banana,"87","117","76"
Banana,"37","52","24"
Banana,"192","221","186"
Banana,"56","89","65"
Banana,"133","161","136"
Banana,"51","87","45"
Banana,"173","196","161"
Banana,"105","137","107"
Banana,"124","154","119"
Banana,"143","169","137"
Banana,"145","174","141"
Banana,"115","157","113"
Banana,"71","97","67"
Banana,"115","154","120"
Banana,"107","133","99"
Banana,"110","138","113"
Banana,"134","182","127"
Banana,"123","155","111"
Banana,"132","170","118"
Banana,"97","133","96"
Banana,"38","86","42"
Banana,"136","171","126"
Banana,"155","155","127"
Banana,"33","72","36"
Banana,"105","136","95"
Banana,"133","160","123"
Banana,"144","172","115"
Banana,"88","118","87"
Banana,"46","83","41"
Banana,"192","233","166"
Banana,"137","178","131"
Banana,"119","144","105"
Banana,"153","173","133"
Banana,"160","181","144"
Banana,"94","106","79"
Banana,"136","158","126"
Banana,"108","142","111"
Banana,"142","163","139"
Banana,"13","42","13"
Banana,"25","39","17"
Banana,"57","89","40"
Banana,"22","50","25"
Banana,"129","141","114"
Banana,"83","112","83"
Banana,"100","128","99"
Banana,"99","124","88"
Banana,"163","183","153"
Banana,"82","102","74"
Banana,"48","60","35"
Banana,"190","208","179"
Banana,"90","105","69"
Banana,"65","75","41"
Banana,"21","42","18"
Banana,"76","96","77"
Banana,"74","104","71"
Banana,"146","174","129"
Banana,"163","188","150"
Banana,"87","106","84"
Banana,"75","101","69"
Banana,"55","66","43"
Banana,"50","84","61"
Banana,"103","129","97"
Banana,"36","68","40"
Banana,"140","157","136"
Banana,"80","111","73"
Banana,"49","79","39"
Banana,"191","214","177"
Banana,"134","167","117"
Banana,"130","156","114"
Banana,"69","106","48"
Banana,"50","70","38"
Banana,"145","191","111"
Banana,"137","139","100"
Banana,"101","112","89"
Banana,"74","98","69"
Banana,"150","165","130"
Banana,"51","90","52"
Banana,"141","178","138"
Banana,"94","120","90"
Banana,"63","97","66"
Banana,"116","149","115"
Banana,"113","134","97"
Banana,"77","106","77"
Banana,"91","113","93"
Banana,"130","151","125"
Banana,"59","87","62"
Banana,"123","156","124"
Banana,"49","73","44"
Banana,"41","73","29"
Banana,"154","197","137"
Banana,"96","131","86"
Banana,"99","139","98"
Banana,"154","189","144"
Banana,"16","35","11"
Banana,"129","159","118"
Banana,"79","116","58"
Banana,"134","188","124"
Banana,"122","160","109"
Banana,"163","172","125"
Banana,"72","102","71"
Banana,"98","136","90"
Banana,"99","128","103"
Banana,"93","123","67"
Banana,"116","152","102"
Banana,"145","178","129"
Banana,"107","146","95"
Banana,"81","129","65"
Banana,"180","212","160"
Banana,"125","158","109"
Banana,"147","175","120"
Banana,"53","97","29"
Banana,"79","108","59"
Banana,"78","114","63"
Banana,"165","201","161"
Banana,"84","126","74"
Banana,"59","91","47"
Banana,"59","104","66"
Banana,"66","96","61"
Banana,"94","131","75"
Banana,"41","64","37"
Banana,"86","132","67"
Banana,"141","183","131"
Banana,"18","47","12"
Banana,"53","82","49"
Banana,"95","142","88"
Banana,"116","155","101"
Banana,"70","112","57"
Banana,"225","224","191"
Banana,"171","192","157"
Banana,"31","66","21"
Banana,"236","251","218"
Banana,"120","128","84"
Banana,"75","90","64"
Banana,"144","173","124"
Banana,"193","215","174"
Banana,"107","129","97"
Banana,"135","170","125"
Banana,"110","136","106"
Banana,"193","217","184"
Banana,"69","105","68"
Banana,"93","115","83"
Banana,"45","75","42"
Banana,"157","188","147"
Banana,"42","73","35"
Banana,"111","132","95"
Banana,"130","154","113"
Banana,"91","124","88"
Banana,"131","163","119"
Banana,"132","167","134"
Banana,"145","182","142"
Banana,"18","42","13"
Banana,"102","129","90"
Banana,"120","144","111"
Banana,"131","145","117"
Banana,"101","128","88"
Banana,"128","162","120"
Banana,"161","192","151"
Banana,"143","182","128"
Banana,"79","115","72"
Banana,"52","79","42"
Banana,"91","116","78"
Banana,"119","156","100"
Banana,"87","125","74"
Banana,"117","147","112"
Banana,"97","126","93"
Banana,"116","158","103"
Banana,"132","180","100"
Banana,"89","120","82"
Banana,"70","110","69"
Banana,"108","153","107"
Banana,"92","126","87"
Banana,"129","169","126"
Banana,"26","64","34"
Banana,"53","94","57"
Banana,"74","106","76"
Banana,"75","120","84"
Banana,"124","165","130"
Banana,"55","93","61"
Banana,"108","128","110"
Banana,"149","172","134"
Banana,"129","156","119"
Banana,"170","167","129"
Banana,"129","183","119"
Banana,"66","97","74"
Banana,"51","98","61"
Banana,"124","168","134"
Banana,"58","102","83"
Banana,"119","155","113"
Banana,"169","196","156"
Banana,"140","169","136"
Banana,"116","147","107"
Banana,"142","164","113"
Banana,"148","179","139"
Banana,"84","113","80"
Banana,"129","167","119"
Banana,"163","218","130"
Banana,"154","192","140"
Banana,"133","176","118"
Banana,"117","146","98"
Banana,"140","178","127"
Banana,"206","250","196"
Banana,"63","102","41"
Banana,"149","192","132"
Banana,"78","121","73"
Banana,"134","170","117"
Banana,"110","159","99"
Banana,"104","164","108"
Banana,"157","212","140"
Banana,"128","169","134"
Banana,"54","91","51"
Banana,"14","53","17"
Banana,"126","153","113"
Banana,"79","111","62"
Banana,"110","149","113"
Banana,"196","231","196"
Banana,"203","240","194"
Banana,"110","161","116"
Banana,"121","161","128"
Banana,"88","132","100"
Banana,"57","86","61"
Banana,"103","141","95"
Banana,"147","177","144"
Banana,"174","192","163"
Banana,"161","202","137"
Banana,"212","239","189"
Banana,"123","165","112"
Banana,"6","36","5"
Banana,"92","127","90"
Banana,"54","94","61"
Banana,"144","183","126"
Banana,"155","157","127"
Banana,"115","162","107"
Banana,"61","94","58"
Banana,"61","93","63"
Banana,"98","137","86"
Banana,"84","131","76"
